,last_source,sessions_count,sessions_orders_count,sessions_typ_count,cr
194,blizkoru_id13032619,5,0,0,0.0
195,sunlight.net,131,0,0,0.0
196,20170317,1,0,0,0.0
197,TEST,1,0,0,0.0
198,yell.ru,1,0,0,0.0
199,ok,2,0,0,0.0
200,20150414,1,0,0,0.0
201,the-flow,4,0,0,0.0
202,yandexmarket.taganrog,20,0,0,0.0
203,adletter,4,0,0,0.0
204,Torg_mail.ru,1,0,0,0.0
205,20131217,1,0,0,0.0
206,channel_drofa,1,0,0,0.0
207,20171119,1,0,0,0.0
208,20180122_month_tst,1,0,0,0.0
209,2242,1,0,0,0.0
210,20180215_pl_dreif_500,1,0,0,0.0
211,vk.com,53,0,0,0.0
212,20141227,2,0,0,0.0
213,20180112_skidka220,2,0,0,0.0
214,20171229,3,0,0,0.0
215,20180129_abraziv,1,0,0,0.0
216,yandexmarket.kaluga,61,0,0,0.0
217,20170219,1,0,0,0.0
218,1706,1,0,0,0.0
219,7dach,3,0,0,0.0
220,icontext_yandex,1,0,0,0.0
221,1393,1,0,0,0.0
222,20150326,1,0,0,0.0
223,b2bpriceletter,10,0,0,0.0
224,1407,1,0,0,0.0
225,eksmolive,78,0,0,0.0
226,blizkoru_id13169299,1,0,0,0.0
227,20171017,1,0,0,0.0
228,lecta,366,0,0,0.0
229,Price.ru,12,0,0,0.0
230,20161011,1,0,0,0.0
231,mixmarket,4,0,0,0.0
232,20180113_dremel,1,0,0,0.0
233,yandexmarket.novorossiysk,29,0,0,0.0
234,20161028,1,0,0,0.0
235,dbm,449,0,0,0.0
236,AdSmart,235,0,0,0.0
237,smolensk.nashaspravka.ru,1,0,0,0.0
238,Vk,8,0,0,0.0
239,20170825,1,0,0,0.0
240,20170419,1,0,0,0.0
241,just,10,0,0,0.0
242,Flow_beats,1,0,0,0.0
243,20180312_stm_neactive,109,0,0,0.0
244,Aport,1,0,0,0.0
245,yt,1,0,0,0.0
246,black_friday,1,0,0,0.0
247,1247,2,0,0,0.0
248,1592,2,0,0,0.0
249,Ruganza,2,0,0,0.0
250,1402,1,0,0,0.0
251,20180130_klimat,1,0,0,0.0
252,iphones_music,67,0,0,0.0
253,ai,1,0,0,0.0
254,20161220,1,0,0,0.0
255,20180124_mos,1,0,0,0.0
256,20161107,1,0,0,0.0
257,yaroslavl.nashaspravka.ru,1,0,0,0.0
258,2049,1,0,0,0.0
259,foxford,6,0,0,0.0
260,1868,1,0,0,0.0
261,actionpay,7,0,0,0.0
262,20180128,35,0,0,0.0
263,get4click,1,0,0,0.0
264,yandexmarket_msk,1,0,0,0.0
265,konkursgrant,4,0,0,0.0
266,retailrocket_streetbeat,3,0,0,0.0
267,20180222_dewalt,6,0,0,0.0
268,20180111,2,0,0,0.0
269,vk-post-gender8march,226,0,0,0.0
270,20180208_1_do49,1,0,0,0.0
271,20180216,1,0,0,0.0
272,20180221_skidka220_2,26,0,0,0.0
273,20171225_elektro,3,0,0,0.0
274,blizkoru_id10742564,5,0,0,0.0
275,alterprice,10,0,0,0.0
276,20180215_ruchnik_segment,12,0,0,0.0
277,CityADS,7,0,0,0.0
278,20150401,1,0,0,0.0
279,20171124_bf,1,0,0,0.0
280,begun,1,0,0,0.0
281,Рассылка интернет-магазина Эксмо,1,0,0,0.0
282,iphonesru/?min_price=40990,1,0,0,0.0
283,facebook.com_ast,4,0,0,0.0
284,yandexmarket.ufa,1,0,0,0.0
285,FB,2,0,0,0.0
286,yandexmarket.yaroslavl,78,0,0,0.0
287,lecta-logo,2,0,0,0.0
288,SB,6,0,0,0.0
289,2poick.ru,1,0,0,0.0
290,1179,1,0,0,0.0
291,novosibirsk.nashaspravka.ru,1,0,0,0.0
292,123,9,0,0,0.0
293,mir-kubikov.ru,1,0,0,0.0
294,1426,1,0,0,0.0
295,yandexmarket.kirov,44,0,0,0.0
296,googlerw,6,0,0,0.0
297,yandexmarket.ribinsk,24,0,0,0.0
298,1441,1,0,0,0.0
299,mt,2,0,0,0.0
300,koolinar,1,0,0,0.0
301,Avito.ru,1,0,0,0.0
302,1808,1,0,0,0.0
303,20180208_2_do49,5,0,0,0.0
304,blizkoru_id13169428,1,0,0,0.0
305,20180212_23feb_1c,1,0,0,0.0
306,2045,1,0,0,0.0
307,20140909,1,0,0,0.0
